Key,en,es,ar,fr
OTP resend success,OTP resend success,Reenvío OTP exitoso,تم إعادة إرسال OTP بنجاح,OTP renvoie avec succès
Password reset success,Password reset success,Restablecimiento de contraseña exitoso,نجاح إعادة تعيين كلمة المرور,Réinitialisation réussie du mot de passe
Credentials didn't match,Credentials didn't match,Las credenciales no coincidieron,بيانات الاعتماد غير متطابقة,Les informations d'identification ne correspondent pas
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,¡Error de inicio de sesion! ¡No se pudo actualizar la billetera! Por favor inténtalo de nuevo,فشل تسجيل الدخول! فشل تحديث المحفظة! يرجى المحاولة مرة أخرى,La connexion a échoué! Échec de l'actualisation du portefeuille ! Veuillez réessayer
User successfully logged in,User successfully logged in,El usuario inició sesión exitosamente,تم تسجيل دخول المستخدم بنجاح,Utilisateur connecté avec succès
Registration failed! Please try again,Registration failed! Please try again,¡El registro falló! Por favor inténtalo de nuevo,فشل التسجيل! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Veuillez réessayer
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo recuperar la información del usuario. Por favor inténtalo de nuevo,فشل في جلب معلومات المستخدم. يرجى المحاولة مرة أخرى,Échec de la récupération des informations utilisateur. Veuillez réessayer
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar el token de usuario! Por favor inténtalo de nuevo,فشل في إنشاء رمز مميز للمستخدم! يرجى المحاولة مرة أخرى,Échec de la génération du jeton utilisateur ! Veuillez réessayer
Registration Failed! Failed to create wallet! Please try again,Registration Failed! Failed to create wallet! Please try again,¡El registro falló! ¡No se pudo crear la billetera! Por favor inténtalo de nuevo,فشل التسجيل! فشل في إنشاء المحفظة! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Échec de la création du portefeuille ! Veuillez réessayer
User successfully registered,User successfully registered,Usuario registrado exitosamente,تم تسجيل المستخدم بنجاح,Utilisateur enregistré avec succès
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No se pudieron recuperar los datos. Por favor inténtalo de nuevo,فشل في جلب البيانات. يرجى المحاولة مرة أخرى,Échec de la récupération des données. Veuillez réessayer
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡La pasarela de pago se obtuvo correctamente!,تم جلب بوابة الدفع بنجاح!,La passerelle de paiement a été récupérée avec succès !
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar la puerta de enlace manual en el enlace automático,لا يمكن إرسال البوابة اليدوية في الرابط التلقائي,Impossible de soumettre une passerelle manuelle dans un lien automatique
Transaction failed. Record didn't saved properly. Please try again,Transaction failed. Record didn't saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,La transaction a échoué. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer
Payment process cancel successfully!,Payment process cancel successfully!,¡El proceso de pago se cancela exitosamente!,تم إلغاء عملية الدفع بنجاح!,Le processus de paiement a été annulé avec succès !
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No puedo obtener campos. La puerta de enlace solicitada es automática.,لا يمكن الحصول على الحقول. البوابة المطلوبة تلقائية,Impossible d'obtenir des champs. La passerelle demandée est automatique
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Por favor intenta con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى,Cette passerelle de paiement est en construction. Veuillez essayer avec une autre passerelle de paiement
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago se recuperaron correctamente!,تم جلب حقول إدخال بوابة الدفع بنجاح!,Les champs de saisie de la passerelle de paiement ont été récupérés avec succès !
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar la puerta de enlace automática en el enlace manual,لا يمكن إرسال البوابة التلقائية في الرابط اليدوي,Impossible de soumettre une passerelle automatique dans un lien manuel
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة,La passerelle sélectionnée n'est pas valide
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,La transacción falló. No se pudo guardar la información. Por favor inténtalo de nuevo,فشلت الصفقة. فشل في حفظ المعلومات. يرجى المحاولة مرة أخرى,Échec de la transaction. Échec de l'enregistrement des informations. Veuillez réessayer
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!,Votre portefeuille n'est pas valide !
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Éxito de la transacción. Espere la confirmación del administrador.,نجاح الصفقة. الرجاء الانتظار لتأكيد المشرف,Succès des transactions. Veuillez attendre la confirmation de l'administrateur
Request response fetch successfully!,Request response fetch successfully!,¡La solicitud de respuesta se obtuvo correctamente!,تم جلب الاستجابة للطلب بنجاح!,La réponse à la demande a été récupérée avec succès !
Payment gateway response successful,Payment gateway response successful,Respuesta exitosa de la pasarela de pago,استجابة بوابة الدفع ناجحة,Réponse réussie de la passerelle de paiement
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del panel de usuario se recuperaron correctamente!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,Les données du tableau de bord utilisateur ont été récupérées avec succès !
Investment plan list fetch successfully!,Investment plan list fetch successfully!,¡La lista de planes de inversión se obtuvo con éxito!,تم جلب قائمة خطة الاستثمار بنجاح!,La liste des plans d'investissement a été récupérée avec succès !
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible,أُووبس! هذه الخطة لم تعد متوفرة,Oups ! Ce forfait n'est plus disponible
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! ¡Cartera no encontrada!,أُووبس! لم يتم العثور على المحفظة!,Oups ! Portefeuille introuvable !
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Ups! ¡Algo salió mal! Por favor inténtalo de nuevo,أُووبس! حدث خطأ ما! يرجى المحاولة مرة أخرى,Oups ! Quelque chose s'est mal passé ! Veuillez réessayer
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Compra del nuevo plan de inversión con éxito!,تم شراء خطة الاستثمار الجديدة بنجاح!,Achat d'un nouveau plan d'investissement avec succès !
Investment data fetch successfully!,Investment data fetch successfully!,¡Los datos de inversión se obtuvieron con éxito!,تم جلب بيانات الاستثمار بنجاح!,Les données d'investissement ont été récupérées avec succès !
Investment profit data fetch successfully!,Investment profit data fetch successfully!,¡Los datos de ganancias de inversión se obtuvieron con éxito!,تم جلب بيانات أرباح الاستثمار بنجاح!,Les données sur les bénéfices d'investissement sont récupérées avec succès !
User wallets fetch successfully!,User wallets fetch successfully!,¡Las carteras de los usuarios se recuperan correctamente!,تم جلب محافظ المستخدم بنجاح!,Les portefeuilles des utilisateurs sont récupérés avec succès !
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,El receptor no existe o el receptor está prohibido temporalmente,جهاز الاستقبال غير موجود أو جهاز الاستقبال محظور مؤقتًا,Le récepteur n'existe pas ou le récepteur est temporairement banni
Receiver wallet not available,Receiver wallet not available,Cartera receptora no disponible,محفظة المتلقي غير متوفرة,Portefeuille récepteur non disponible
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,¡La transacción falló! ¡Algo salió mal! Por favor inténtalo de nuevo,فشلت الصفقة! حدث خطأ ما! يرجى المحاولة مرة أخرى,La transaction a échoué ! Quelque chose s'est mal passé ! Veuillez réessayer
Profile info fetch successfully!,Profile info fetch successfully!,¡La información del perfil se obtuvo correctamente!,تم جلب معلومات الملف الشخصي بنجاح!,Les informations de profil ont été récupérées avec succès !
Phone number already exists,Phone number already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!,Profil mis à jour avec succès !
Current password didn't match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة,Le mot de passe actuel ne correspond pas
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !
Logout success!,Logout success!,¡Cerrar sesión exitosamente!,نجاح تسجيل الخروج!,Déconnexion réussie !
Splash screen data fetch successfully!,Splash screen data fetch successfully!,¡Los datos de la pantalla de bienvenida se recuperaron correctamente!,تم جلب بيانات شاشة البداية بنجاح!,Les données de l'écran de démarrage ont été récupérées avec succès !
Onboard screen data fetch successfully!,Onboard screen data fetch successfully!,¡Los datos de la pantalla integrada se recuperaron correctamente!,تم جلب بيانات الشاشة الموجودة على اللوحة بنجاح!,Récupération réussie des données de l'écran intégré !
Transactions fetch successfully!,Transactions fetch successfully!,¡Las transacciones se recuperan correctamente!,جلب المعاملات بنجاح!,Les transactions sont récupérées avec succès !
Request data fetch successfully!,Request data fetch successfully!,¡Solicite la recuperación de datos exitosamente!,طلب جلب البيانات بنجاح!,Demander la récupération des données avec succès !
Payment gateway not found!,Payment gateway not found!,¡Pasarela de pago no encontrada!,بوابة الدفع غير موجودة!,Passerelle de paiement introuvable !
Payment gateway is under maintenance. Please try with another gateway,Payment gateway is under maintenance. Please try with another gateway,La pasarela de pago se encuentra en mantenimiento. Por favor intenta con otra puerta de enlace,بوابة الدفع تحت الصيانة. يرجى المحاولة مع بوابة أخرى,La passerelle de paiement est en maintenance. Veuillez essayer avec une autre passerelle
Payment gateway input field fetch successfully!,Payment gateway input field fetch successfully!,¡El campo de entrada de la pasarela de pago se obtuvo correctamente!,تم جلب حقل إدخال بوابة الدفع بنجاح!,Le champ de saisie de la passerelle de paiement a été récupéré avec succès !
Service not available!,Service not available!,¡Servicio no disponible!,الخدمة غير متوفرة!,Service non disponible !
Gateway isn't available for this transaction,Gateway isn't available for this transaction,La puerta de enlace no está disponible para esta transacción,البوابة غير متاحة لهذه المعاملة,La passerelle n'est pas disponible pour cette transaction
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente,رصيد محفظتك غير كافي,Le solde de votre portefeuille est insuffisant
Oops! Wallet type not defined,Oops! Wallet type not defined,¡Ups! Tipo de billetera no definido,أُووبس! نوع المحفظة غير محدد,Oups ! Type de portefeuille non défini
Language data fetch successfully!,Language data fetch successfully!,¡Los datos de idioma se obtuvieron correctamente!,تم جلب بيانات اللغة بنجاح!,Les données de langue ont été récupérées avec succès !
WOW,WOW,GUAU,رائع,OUAH
App Name,App Name,Nombre de la aplicación,اسم التطبيق,Nom de l'application
Please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ
PLEASE CONNECT TO THE INTERNET,PLEASE CONNECT TO THE INTERNET,POR FAVOR CONÉCTATE A INTERNET,يرجى الاتصال بالإنترنت,VEUILLEZ VOUS CONNECTER À INTERNET
Sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
Password,Password,Contraseña,كلمة المرور,Mot de passe
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
Enter Password,Enter Password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le mot de passe
Forget Password,Forget Password,Olvidar Contraseña,نسيت كلمة المرور,Mot de passe oublié
Get Started,Get Started,Empezar,ابدأ,Commencer
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
Enter Email Address,Enter Email Address,Ingrese la dirección de correo electrónico,أدخل عنوان البريد الإلكتروني,Entrez l'adresse e-mail
Enter The OTP Code Sent to,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسل إليه,Entrez le code OTP envoyé à
Verified Code,Verified Code,Código verificado,رمز التحقق,Code vérifié
Submit,Submit,Entregar,يُقدِّم,Soumettre
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérification OTP
Two Fa OTP Verification,Two Fa OTP Verification,Verificación de dos Fa OTP,التحقق من اثنين من Fa OTP,Vérification OTP de deux Fa
Email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Vérification par e-mail
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
Enter,Enter,Ingresar,يدخل,Entrer
Reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
Congratulations!!,Congratulations!!,¡¡Felicidades!!,مبروك!!,Félicitations!!
Create Account,Create Account,Crear una cuenta,إنشاء حساب,Créer un compte
First Name,First Name,Nombre de pila,الاسم الأول,Prénom
Last Name,Last Name,Apellido,اسم العائلة,Nom de famille
Okay,Okay,Bueno,تمام,D'accord
TRANSFER,TRANSFER,TRANSFERIR,تحويل,TRANSFERT
Home,Home,Hogar,بيت,Maison
Exchange,Exchange,Intercambio,تبادل,Échange
Request,Request,Pedido,طلب,Demande
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,Transaction récente
My Invoice,My Invoice,mi factura,فاتورتي,Ma facture
My Voucher,My Voucher,Mi vale,قسيمتي,Mon bon
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,Journal des transactions
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
Help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
Privacy & Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
About Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
Sign Out,Sign Out,Desconectar,تسجيل الخروج,Se déconnecter
Amount,Amount,Cantidad,كمية,Montant
Preview Screen,Preview Screen,Pantalla de vista previa,شاشة المعاينة,Écran d'aperçu
Preview,Preview,Avance,معاينة,Aperçu
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Total des frais et charges
Will Get,Will Get,obtendrá,سوف تحصل,obtiendra
Total Payable Ammount,Total Payable Ammount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Confirm,Confirm,Confirmar,يتأكد,Confirmer
Money Exchange,Money Exchange,Cambio de dinero,صرف العملات,Échange d'argent
From,From,De,من,Depuis
To,To,A,ل,À
Request Money,Request Money,Solicitar dinero,طلب المال,Demander de l'argent
Remarks,Remarks,Observaciones,ملاحظات,Remarques
Optional,Optional,Opcional,خياري,Facultatif
Share Request Money,Share Request Money,Compartir Solicitar Dinero,مشاركة طلب المال,Partager Demander de l'argent
Share,Share,Compartir,يشارك,Partager
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible
Receiver,Receiver,Receptor,المتلقي,Récepteur
Profile,Profile,Perfil,حساب تعريفي,Profil
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Country,Country,País,دولة,Pays
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
State,State,Estado,ولاية,État
City,City,Ciudad,مدينة,Ville
Zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
Address,Address,DIRECCIÓN,عنوان,Adresse
Update,Update,Actualizar,تحديث,Mise à jour
Paid,Paid,Pagado,مدفوع,Payé
Sent,Sent,Enviado,مرسل,Envoyé
UnPaid,UnPaid,No pagado,غير مدفوعة الأجر,Non rémunéré
Invoice Number,Invoice Number,Número de factura,رقم الفاتورة,Numéro de facture
Invoice Date,Invoice Date,Fecha de factura,تاريخ الفاتورة,Date de facture
Currency,Currency,Divisa,عملة,Devise
Pick Goods,Pick Goods,Escoger productos,اختر البضائع,Choisir des marchandises
Trick Goods,Trick Goods,Productos de truco,السلع خدعة,Marchandises trompeuses
From/,From/,De/,من/,Depuis/
Total Bill,Total Bill,Factura Total,إجمالي الفاتورة,Facture totale
Create Invoice,Create Invoice,Crear factura,إنشاء فاتورة,Créer une facture
Invoice To,Invoice To,facturar a,الفاتورة إلى,Facturer à
Billing Address,Billing Address,Dirección de Envio,عنوان الفواتير,adresse de facturation
Notes,Notes,Notas,ملحوظات,Remarques
Item Details,Item Details,Detalles del artículo,تفاصيل السلعة,Détails de l'article
Client Name,Client Name,Nombre del cliente,اسم العميل,Nom du client
Add New,Add New,Agregar nuevo,أضف جديد,Ajouter un nouveau
Item Name,Item Name,Nombre del artículo,اسم العنصر,Nom de l'article
Voucher,Voucher,Vale,قسيمة,Bon
Redeem,Redeem,Canjear,يسترد,Racheter
Used,Used,Usado,مستخدم,Utilisé
Not Used,Not Used,No usado,غير مستخدم,Non utilisé
Name,Name,Nombre,اسم,Nom
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Phone,Phone,Teléfono,هاتف,Téléphone
Fees & Charge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف,Frais et charges
Status,Status,Estado,حالة,Statut
Code,Code,Código,شفرة,Code
Create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة,Créer un bon
Confirm Redeem,Confirm Redeem,Confirmar canjear,تأكيد الاسترداد,Confirmer l'échange
Redeem Code,Redeem Code,Canjear código,استرداد الرمز,Utiliser le code
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال,Ajouter un journal d'argent
Money Out Log,Money Out Log,Registro de salida de dinero,سجل خروج الأموال,Journal des sorties d'argent
Exchange Log,Exchange Log,Registro de intercambio,سجل التبادل,Journal d'échange
Request Log,Request Log,Registro de solicitudes,سجل الطلب,Journal des demandes
Back To Home,Back To Home,Volver a casa,العودة إلى المنزل,Retour à la maison
Send Verification Code,Send Verification Code,Enviar código de verificación,إرسال رمز التحقق,Envoyer le code de vérification
Individual,Individual,Individual,فردي,Individuel
Business,Business,Negocio,عمل,Entreprise
Middle Name,Middle Name,Segundo nombre,الاسم الأوسط,Deuxième prénom
Username,Username,Nombre de usuario,اسم المستخدم,Nom d'utilisateur
Postal Code,Postal Code,Código Postal,رمز بريدي,Code Postal
Company Name,Company Name,nombre de empresa,اسم الشركة,Nom de l'entreprise
Gender,Gender,Género,جنس,Genre
Date of Birth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد,Date de naissance
Nationality,Nationality,Nacionalidad,جنسية,Nationalité
My Receipt,My Receipt,Mi recibo,إيصالي,Mon reçu
Total Exchanged Amount,Total Exchanged Amount,Monto total intercambiado,إجمالي المبلغ المتبادل,Montant total échangé
Converted Amount,Converted Amount,Monto convertido,المبلغ المحول,Montant converti
Requested Amount,Requested Amount,Monto solicitado,المبلغ المطلوب,Montant demandé
Secure Investment Platform,Secure Investment Platform,Plataforma de inversión segura,منصة استثمارية آمنة,Plateforme d'investissement sécurisée
Welcome to CyrpInvest,Welcome to CyrpInvest,Bienvenido a CyrpInvest,مرحبا بكم في CyrpInvest,Bienvenue chez CyrpInvest
By investing money you can easily earn through this system.,By investing money you can easily earn through this system.,"Al invertir dinero, puede ganar fácilmente a través de este sistema.",من خلال استثمار الأموال يمكنك الربح بسهولة من خلال هذا النظام.,"En investissant de l'argent, vous pouvez facilement gagner grâce à ce système."
"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu."
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟,Mot de passe oublié ?
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
Don't have an account?,Don't have an account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا خلال الخطوات اللازمة.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires.
We sent a 6-digit code to your email,We sent a 6-digit code to your email,Le enviamos un código de 6 dígitos a su correo electrónico,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre email
Enter the google authentication code here,Enter the google authentication code here,Ingrese el código de autenticación de Google aquí,أدخل رمز مصادقة جوجل هنا,Entrez le code d'authentification Google ici
Resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Renvoyer le code
didn't get any code?,didn't get any code?,¿No obtuviste ningún código?,لم تحصل على أي رمز؟,vous n'avez pas reçu de code ?
Your password has been successfully reset. Sign in again now.,Your password has been successfully reset. Sign in again now.,Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,لقد تم إعادة تعيين كلمة المرور الخاصة بك بنجاح. قم بتسجيل الدخول مرة أخرى الآن.,Votre mot de passe a été réinitialisé avec succès. Connectez-vous à nouveau maintenant.
Enter New Password,Enter New Password,Ingrese una nueva contraseña,أدخل كلمة المرور الجديدة,Entrez un nouveau mot de passe
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور,Entrez Confirmer le mot de passe
Go To Sign In,Go To Sign In,Ir a iniciar sesión,انتقل إلى تسجيل الدخول,Allez pour vous connecter
Go To Dashboard,Go To Dashboard,Ir al panel,انتقل إلى لوحة القيادة,Aller au tableau de bord
